address,group,roi,total_spent,total_sold,leftover_value,trade_count,yes_shares_bought,yes_shares_sold,yes_spent,yes_sold,yes_leftover_value,no_shares_bought,no_shares_sold,no_spent,no_sold,no_leftover_value
0x2a03d5e52f8c6a8112604174722df8420926c2c1,B,-1.0,1.099999,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,33.013484,0.0,1.099999,0.0,0.0
0x2a9c840afd75eee789641f1ccd5401710f3b2366,B,-1.0,0.1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.1,0.0,0.0
0x2bbd70e2ccb73aac096a60cee4e8a3429c184a62,A,8.090913045456523,1.999999,0.0,18.181817,1,18.181817,0.0,1.999999,0.0,18.181817,0.0,0.0,0.0,0.0,0.0
0x2c6f416cad4764d2809df184b8eae2f59d3e014e,B,-1.0,63.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,63.0,0.0,0.0
0x2d3819976245031e0f3ca7e914cd3da8a3defd48,A,0.0,741.504,741.504,0.0,16,0.0,0.0,0.0,0.0,0.0,768.0,768.0,741.504,741.504,0.0
0x2def8c5dab96c20c317b370eaa5249061bc17066,B,-1.0,4.99,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,80.0,0.0,4.99,0.0,0.0
0x2e40287b7a2623fc828c90ea6cbe97f9eeb7c89d,B,-0.2124081443924467,2232.667313,1758.42655,0.004042,17,5849.994042,5849.99,2232.667313,1758.42655,0.004042,0.0,0.0,0.0,0.0,0.0
0x2f01c0f0ef031eeb6de29c0101d2b3c506fe663c,A,-0.6189028487045654,39.999971,0.0,15.243875,2,15.243875,0.0,14.999973,0.0,15.243875,25.614753,0.0,24.999998,0.0,0.0
0x34134e7c29b654c4f53ec213e6f35808b3f05204,A,-0.16244987579041587,7488.794898,6272.241097,0.0,183,2127.257005,2742.0,1020.582217,1040.52125,0.0,15055.735009,12347.41819,6468.212681,5231.719847,0.0
0x347a522d5fe7f612b9d855a09143a5cad88883e3,B,0.3333333333333333,37.5,50.0,0.0,3,100.0,100.0,34.9,50.0,0.0,200.0,0.0,2.6,0.0,0.0
0x34b5399405d14454b6da47d1e6796f51ac0963ec,A,0.0,981.016,981.016,0.0,22,0.0,0.0,0.0,0.0,0.0,1016.0,1016.0,981.016,981.016,0.0
0x359499cf05cbca92e66235a2d8494be6ee3d3467,B,0.005025125628140704,28.949923,0.0,29.0954,1,29.0954,0.0,28.949923,0.0,29.0954,0.0,0.0,0.0,0.0,0.0
0x37fdff6ce9e55c3500940fac9a14bd8d870e2c5a,B,0.009081801816360325,9.999998,0.0,10.090816,1,10.090816,0.0,9.999998,0.0,10.090816,0.0,0.0,0.0,0.0,0.0
0x3978a99e028eb590c98d8e9ddbe513298fa92f24,A,0.0827492003251737,16.120615,17.44898,0.005603,10,30.010603,30.005,8.970615,8.44898,0.005603,10.0,10.0,7.15,9.0,0.0
